Everett's Exaltation,wawdwawawdwawawdwewdwqwdwqwdwqwdwqwdwqwdw
Everett's Gateway,wawewawewawewawewawewawwwqwqwqwqwqwaeqqqqqaww
Everett's Abduction,aeaeaeaeaeaaedwaq
Everett's Expulsion,wwdeeeeeqdwewewewewewwwdwqwdwqwdwqwdwqwdwqwdw
Everett's Room Prfn.,awqwawqdqawwwaq
Everett's Distl.,dewedaewdwewd
Everett's Relative Prfn.,adeeda
Everett's Relative Prfn. II,daqqad
Everett's Environment,deaqqeweeeeewdqdqdqdqdq
Everett's Environment II,aqdeeqeaeaeaeaeae
Everett's Carving Prfn.,qqqqqwaeaeaeaeaeadwaqaeaq
Everett's Timing Prfn.,qqqqqwaeaeaeaeaeadqwdwqwdwdwqw
