Induce Exhaustion,qqwqqwqqqqq
Hierophant's Reflection,qaqqaeawaea
Payload Purification,ddeqaa
Payload Gambit,ddeedd
Trigger Purification,ddewaa
Trigger Gambit,ddewdd
Mute Mind,ddweeee
Free Mind,ddeawawa
Stabilize Minds,qaqqaeawaeaeqqqeqqwwqqeqqq
Trigger Reflection: Damage,qqqqqawwqdwa
Trigger Reflection: Damage Type,qqqqqawwqdwaqqwawqwa
Trigger Purification: Health,qqqqqawwewawqada
Trigger Purification: Breath,qqqqqawweqqqqqaa
Trigger Purification: Hunger,qqqqqawwaedwda
Trigger Purification: Velocity,qqqqqawwdaqqqaq
Trigger Purification: Fall,qqqqqawweawawa
Trigger Reflection: Drop,qqqqqawweaqaddwd
Trigger Reflection: Attack,qqqqqawwqwedweq
Trigger Reflection: Break,qqqqqawwwqaqqqqq
Trigger Reflection: Jump,qqqqqawwqdwdwd
Trigger Reflection: Teleport,qqqqqawweaqaawaaqa
Inversion Purification,aawddeeqqqqqaw
